
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
94:10:3E:14:F4:F4, 2016-07-23 13:38:00, 2016-07-23 14:54:20,  1,  54, WPA2, CCMP,PSK, -16,    40658,        0,   0.  0.  0.  0,   9, Rowell2.4, 
34:68:95:F9:2B:F9, 2016-07-23 13:38:00, 2016-07-23 14:54:20,  1,  54, WPA2, CCMP,PSK, -65,    39880,        0,   0.  0.  0.  0,  10, WIFIF92BF6, 
84:1B:5E:82:75:88, 2016-07-23 13:45:41, 2016-07-23 14:54:20,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -76,    30619,     2697,   0.  0.  0.  0,  11, SureWest-88, 
AC:B3:13:C8:A4:3D, 2016-07-23 13:38:00, 2016-07-23 14:54:20,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -77,    36550,      220,   0.  0.  0.  0,  10, ARRIS-A431, 
B0:5A:DA:23:51:C5, 2016-07-23 13:38:00, 2016-07-23 14:54:20,  1,  54, WPA2, CCMP,PSK, -85,    24700,        0,   0.  0.  0.  0,  29, DIRECT-C4-HP ENVY 5660 series, 
2C:30:33:FB:44:59, 2016-07-23 13:38:00, 2016-07-23 14:54:20,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,    13250,     4827,   0.  0.  0.  0,   7, mycci59, 
1C:1B:68:D4:DB:10, 2016-07-23 13:38:00, 2016-07-23 14:54:17,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,     8484,     1331,   0.  0.  0.  0,   6, ATT896, 
00:25:F0:61:8A:A4, 2016-07-23 13:38:03, 2016-07-23 14:54:20,  1,  54, WPA2, CCMP,PSK, -90,     7824,        0,   0.  0.  0.  0,   8, tl618aa4, 
6C:70:9F:EA:85:C8, 2016-07-23 13:38:01, 2016-07-23 14:54:20,  1,  54, WPA2, CCMP,PSK, -91,     1144,       78,   0.  0.  0.  0,  22, Kapple's Wi-Fi Network, 
90:0D:CB:8C:E5:6D, 2016-07-23 13:38:00, 2016-07-23 14:54:19,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -92,    18862,     2658,   0.  0.  0.  0,  10, ARRIS-E561, 
50:6A:03:A6:71:B8, 2016-07-23 13:47:52, 2016-07-23 14:52:30,  2,  54, WPA2, CCMP,PSK, -90,      134,        2,   0.  0.  0.  0,   9, NETGEAR05, 
50:6A:03:A6:71:F4, 2016-07-23 13:38:20, 2016-07-23 14:51:33,  3,  54, WPA2, CCMP,PSK, -88,        6,        0,   0.  0.  0.  0,   9, NETGEAR78, 
50:6A:03:A6:5F:8B, 2016-07-23 14:07:15, 2016-07-23 14:45:08,  3,  54, WPA2, CCMP,PSK, -88,        2,        0,   0.  0.  0.  0,   9, NETGEAR02, 
48:F8:B3:4B:E3:3C, 2016-07-23 13:51:31, 2016-07-23 14:35:53,  1,  54, OPN, ,   , -91,       14,        0,   0.  0.  0.  0,  16, veridian47-guest, 
48:F8:B3:4B:E3:3B, 2016-07-23 13:54:03, 2016-07-23 14:35:56,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -94,        6,        1,   0.  0.  0.  0,  10, veridian47, 
80:37:73:CD:7B:2A, 2016-07-23 13:46:02, 2016-07-23 14:35:45,  6,  54, WPA2, CCMP,PSK, -86,        3,        0,   0.  0.  0.  0,   9, NETGEAR07, 
A0:63:91:3B:71:FA, 2016-07-23 13:38:35, 2016-07-23 14:29:53,  4,  54, WPA2, CCMP,PSK, -89,       18,        0,   0.  0.  0.  0,   9, NETGEAR04, 
C6:8E:8F:25:BB:4D, 2016-07-23 14:27:44, 2016-07-23 14:27:45,  1,  -1, WPA, ,   , -91,        0,        2,   0.  0.  0.  0,   0, , 
A0:63:91:3B:3C:66, 2016-07-23 14:20:41, 2016-07-23 14:20:44,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
78:61:7C:0C:77:E2, 2016-07-23 13:45:02, 2016-07-23 13:45:09,  1,  54, WPA2, CCMP TKIP,PSK, -83,       26,        0,   0.  0.  0.  0,  14, Erics Colorado, 
78:61:7C:18:B5:46, 2016-07-23 13:46:28, 2016-07-23 13:46:39,  1,  54, WPA2, CCMP TKIP,PSK, -89,       50,        0,   0.  0.  0.  0,  14, BlackSilverado, 
C4:04:15:02:8B:EE, 2016-07-23 14:00:27, 2016-07-23 14:00:27,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:B3:13:CD:5E:8D, 2016-07-23 13:45:52, 2016-07-23 14:11:48,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
6C:70:9F:EA:85:C9, 2016-07-23 14:21:48, 2016-07-23 14:21:48,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:02:6F:7E:A4:41, 2016-07-23 14:13:28, 2016-07-23 14:26:12,  1,  54, WPA, TKIP,PSK, -81,     5585,     2241,   0.  0.  0.  0,   9, 103302028, 
FA:8F:CA:82:B0:0A, 2016-07-23 14:01:14, 2016-07-23 14:37:39,  6,  54, OPN, ,   , -90,        0,        0,   0.  0.  0.  0,  13, Living Room.b, 
A0:63:91:31:83:07, 2016-07-23 13:47:31, 2016-07-23 14:40:51,  1,  54, WPA2, CCMP,PSK, -92,        0,        1,   0.  0.  0.  0,   9, NETGEAR30, 
14:AB:F0:72:CD:8D, 2016-07-23 13:40:41, 2016-07-23 14:40:58, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -76,       24,        0,   0.  0.  0.  0,  10, ARRIS-CD81, 
EC:1A:59:D2:1B:B7, 2016-07-23 14:40:45, 2016-07-23 14:41:02,  1,  -1, OPN, ,   ,  -1,        0,        1, 192.168.169.  2,   0, , 
F0:AB:54:06:6B:20, 2016-07-23 14:44:04, 2016-07-23 14:44:14,  1,  54, WPA2, CCMP TKIP,PSK, -89,       52,        0,   0.  0.  0.  0,   8, Percy123, 
05:00:80:00:8C:AB, 2016-07-23 13:38:04, 2016-07-23 14:53:34, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
05:00:80:00:77:93, 2016-07-23 13:38:16, 2016-07-23 14:54:10, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CC:65:AD:DD:02:50, 2016-07-23 14:54:12, 2016-07-23 14:54:12,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:5A:DA:23:51:C4, 2016-07-23 13:38:02, 2016-07-23 14:54:14, -77,     1175, 00:02:6F:7E:A4:41,103302028
54:60:09:15:60:14, 2016-07-23 13:38:15, 2016-07-23 14:54:16, -86,      867, (not associated) ,TC8715DE5
00:25:F0:61:8A:A5, 2016-07-23 13:38:00, 2016-07-23 14:54:17, -92,     3644, 90:0D:CB:8C:E5:6D,
00:80:92:76:86:6C, 2016-07-23 13:38:29, 2016-07-23 14:54:16, -92,      140, (not associated) ,kandyNetwork_24
30:14:4A:72:30:83, 2016-07-23 13:38:07, 2016-07-23 14:54:13, -95,      268, (not associated) ,Bosz
78:4B:87:7A:7F:04, 2016-07-23 13:39:01, 2016-07-23 14:53:49, -88,       23, (not associated) ,
A4:67:06:40:70:18, 2016-07-23 13:41:36, 2016-07-23 14:53:51, -90,       44, (not associated) ,Kapple's Wi-Fi Network
00:19:9D:6D:DE:5A, 2016-07-23 13:38:33, 2016-07-23 14:53:40, -91,       60, (not associated) ,401K4U63
1C:3E:84:8D:96:8B, 2016-07-23 13:38:13, 2016-07-23 14:53:28, -81,      167, (not associated) ,kandy_network
A4:77:33:B2:34:3A, 2016-07-23 13:38:24, 2016-07-23 14:53:27, -82,      624, (not associated) ,kandy_network
9C:D2:1E:27:A7:B2, 2016-07-23 13:38:15, 2016-07-23 14:53:05, -87,      207, (not associated) ,
7A:EA:D5:AF:58:C3, 2016-07-23 14:52:02, 2016-07-23 14:52:02, -70,        1, (not associated) ,
1C:C1:DE:2E:04:28, 2016-07-23 13:45:31, 2016-07-23 14:51:38, -63,       38, (not associated) ,NETGEAR07
B2:70:FA:F3:A0:AA, 2016-07-23 14:48:03, 2016-07-23 14:48:05, -80,        3, (not associated) ,
7C:1E:52:A2:AF:33, 2016-07-23 14:24:59, 2016-07-23 14:46:29,  -1,        2, 6C:70:9F:EA:85:C8,
10:40:F3:7B:E0:BC, 2016-07-23 14:04:55, 2016-07-23 14:43:01, -53,       21, (not associated) ,bv,123,wifi,AllenFieldHouse,12345,Rowell5
40:F0:2F:61:16:B9, 2016-07-23 14:25:58, 2016-07-23 14:43:02, -87,       18, (not associated) ,
EC:1F:72:6F:8A:B1, 2016-07-23 14:40:45, 2016-07-23 14:41:02, -88,       10, EC:1A:59:D2:1B:B7,belkin.bb4.guests
58:A2:B5:EE:9A:95, 2016-07-23 14:40:48, 2016-07-23 14:40:48, -87,        2, (not associated) ,
7E:89:D1:E5:C8:1A, 2016-07-23 14:30:12, 2016-07-23 14:30:12, -88,        1, (not associated) ,
AC:5F:3E:7B:A8:21, 2016-07-23 14:29:53, 2016-07-23 14:29:53,  -1,        1, A0:63:91:3B:71:FA,
54:9F:13:D5:AB:76, 2016-07-23 14:29:26, 2016-07-23 14:29:26, -90,        1, (not associated) ,kandy_network
E0:CA:94:83:1D:E5, 2016-07-23 14:13:28, 2016-07-23 14:25:24, -87,     1602, 00:02:6F:7E:A4:41,
00:27:10:B2:BD:30, 2016-07-23 13:40:26, 2016-07-23 14:24:40, -63,      184, (not associated) ,NETGEAR07-5G
E0:F8:47:0C:2A:00, 2016-07-23 14:23:41, 2016-07-23 14:23:41,  -1,        1, A0:63:91:3B:71:FA,
7A:E4:8C:B8:DE:CF, 2016-07-23 14:23:24, 2016-07-23 14:23:24, -87,        1, (not associated) ,
28:CF:DA:DB:DE:2C, 2016-07-23 14:22:53, 2016-07-23 14:22:53, -92,        3, (not associated) ,BlackDog-Guest,MBR-00d
66:AC:C8:73:79:6F, 2016-07-23 14:20:26, 2016-07-23 14:20:26, -79,        2, (not associated) ,
F4:5C:89:B0:A8:95, 2016-07-23 13:51:12, 2016-07-23 14:19:25,  -1,       20, 2C:30:33:FB:44:59,
EE:E4:71:7A:53:F3, 2016-07-23 14:19:25, 2016-07-23 14:19:29, -73,        5, (not associated) ,
AC:BC:32:42:A2:54, 2016-07-23 13:44:37, 2016-07-23 14:18:51, -91,       14, 6C:70:9F:EA:85:C8,Kapple's Wi-Fi Network
E4:90:7E:C8:36:CC, 2016-07-23 14:17:16, 2016-07-23 14:17:24, -90,        3, (not associated) ,
DA:A1:19:95:36:FC, 2016-07-23 14:13:48, 2016-07-23 14:13:48, -50,        3, (not associated) ,
46:08:9C:70:69:CF, 2016-07-23 14:12:40, 2016-07-23 14:12:40, -77,        2, (not associated) ,
7E:60:3B:70:E4:89, 2016-07-23 14:10:00, 2016-07-23 14:10:00, -79,        2, (not associated) ,
5E:41:28:2D:C6:F8, 2016-07-23 14:05:40, 2016-07-23 14:05:40, -82,        3, (not associated) ,
A0:99:9B:08:15:CB, 2016-07-23 14:01:28, 2016-07-23 14:01:36, -45,       10, (not associated) ,
FC:C2:DE:07:36:7E, 2016-07-23 13:42:52, 2016-07-23 14:00:16,  -1,        2, A0:63:91:3B:71:FA,
C0:BD:D1:C7:45:92, 2016-07-23 13:57:14, 2016-07-23 13:57:14, -86,        2, (not associated) ,
B8:57:D8:D9:2E:F1, 2016-07-23 13:57:03, 2016-07-23 13:57:03, -89,        1, (not associated) ,
70:3E:AC:C3:F3:FF, 2016-07-23 13:41:46, 2016-07-23 13:52:48, -88,        3, (not associated) ,SureWest-97
60:F1:89:60:A5:83, 2016-07-23 13:49:13, 2016-07-23 13:49:13, -92,        2, (not associated) ,
96:1E:81:33:0C:E6, 2016-07-23 13:44:50, 2016-07-23 13:44:50, -86,        1, (not associated) ,
DA:A1:19:E1:D0:6D, 2016-07-23 13:42:00, 2016-07-23 13:42:00, -54,        2, (not associated) ,
46:90:A4:33:39:C0, 2016-07-23 13:40:48, 2016-07-23 13:40:48, -83,        2, (not associated) ,
7A:93:38:5E:62:38, 2016-07-23 13:40:24, 2016-07-23 13:40:24, -83,        2, (not associated) ,
9E:73:6D:EE:38:08, 2016-07-23 13:38:34, 2016-07-23 13:39:59, -91,        5, (not associated) ,ATT360,ACCAP01
BC:8C:CD:5C:15:A3, 2016-07-23 13:38:09, 2016-07-23 13:43:31, -72,       60, (not associated) ,SureWest-39
14:10:9F:CB:1D:37, 2016-07-23 13:47:36, 2016-07-23 13:47:44, -74,        7, (not associated) ,
D8:55:A3:D0:8A:36, 2016-07-23 13:49:15, 2016-07-23 13:49:30, -75,        6, (not associated) ,
A2:16:87:CB:34:75, 2016-07-23 13:47:46, 2016-07-23 13:50:56, -68,       17, (not associated) ,
9E:69:4B:58:DC:1A, 2016-07-23 13:55:18, 2016-07-23 13:55:18, -91,        1, (not associated) ,
