Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Rowell2.4;94:10:3E:14:F4:F4;;1;No;WPA2,AES-CCM;No;54.0;0;40658;0;0;0;0;0;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:20 2016;-16;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;WIFIF92BF6;34:68:95:F9:2B:F9;;1;No;WPA2,AES-CCM;No;54.0;0;39880;0;0;0;0;0;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:20 2016;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;SureWest-88;84:1B:5E:82:75:88;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;30619;0;2697;0;0;2697;;;Sat Jul 23 13:45:41 2016;Sat Jul 23 14:54:20 2016;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ARRIS-A431;AC:B3:13:C8:A4:3D;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;36550;0;220;0;0;220;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:20 2016;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DIRECT-C4-HP ENVY 5660 series;B0:5A:DA:23:51:C5;;1;No;WPA2,AES-CCM;No;54.0;0;24700;0;0;0;0;0;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:20 2016;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;mycci59;2C:30:33:FB:44:59;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;13250;0;4827;0;0;4827;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:20 2016;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ATT896;1C:1B:68:D4:DB:10;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;8484;0;1331;0;0;1331;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:17 2016;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;tl618aa4;00:25:F0:61:8A:A4;;1;No;WPA2,AES-CCM;No;54.0;0;7824;0;0;0;0;0;;;Sat Jul 23 13:38:03 2016;Sat Jul 23 14:54:20 2016;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Kapple's Wi-Fi Network;6C:70:9F:EA:85:C8;;1;No;WPA2,AES-CCM;No;54.0;0;1144;0;78;0;0;78;;;Sat Jul 23 13:38:01 2016;Sat Jul 23 14:54:20 2016;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ARRIS-E561;90:0D:CB:8C:E5:6D;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;18862;0;2658;0;0;2658;;;Sat Jul 23 13:38:00 2016;Sat Jul 23 14:54:19 2016;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
